data,covindex
2020-08-30,1.325243019617019
2020-08-31,1.24574362166082
2020-09-01,1.187358064245255
2020-09-02,1.1517710959520482
2020-09-03,1.1313661629774658
2020-09-04,1.1148218305249893
2020-09-05,1.094189576318691
2020-09-06,1.0752232065695295
2020-09-07,1.0639005271353654
2020-09-08,1.0618989611970664
2020-09-09,1.066654532378827
2020-09-10,1.072508840393426
2020-09-11,1.0700106956557947
2020-09-12,1.056640240343623
2020-09-13,1.0390591039597794
2020-09-14,1.0242042049843059
2020-09-15,1.0207174694749181
2020-09-16,1.0288993016981698
2020-09-17,1.0412903155575988
2020-09-18,1.0508807447759192
2020-09-19,1.0540321286498584
2020-09-20,1.0549348390567037
2020-09-21,1.0584535578523582
2020-09-22,1.0677514228292966
2020-09-23,1.0832025176138271
2020-09-24,1.1004959662718239
2020-09-25,1.1122012952427014
2020-09-26,1.1172376343501829
2020-09-27,1.121106394701896
2020-09-28,1.131362519255235
2020-09-29,1.154973137778251
2020-09-30,1.1919129616009703
2020-10-01,1.2380031657318833
2020-10-02,1.2847600565323383
2020-10-03,1.3298429673126295
2020-10-04,1.3762501105676281
2020-10-05,1.4309925217138937
2020-10-06,1.4985139644067895
2020-10-07,1.5753634430167236
2020-10-08,1.6492262229528598
2020-10-09,1.7074611902241879
2020-10-10,1.7435038470729936
2020-10-11,1.7639964095759433
2020-10-12,1.7833918694834434
2020-10-13,1.8077250713289705
2020-10-14,1.8332146093865689
2020-10-15,1.8484454839904763
2020-10-16,1.844805956198046
2020-10-17,1.8239330189397691
2020-10-18,1.7979076845839341
2020-10-19,1.7778963684011164
2020-10-20,1.7727974335807422
2020-10-21,1.7774551183731875
2020-10-22,1.7770171176829255
2020-10-23,1.761896301240363
2020-10-24,1.7327260322204354
2020-10-25,1.6966848633594094
2020-10-26,1.6609449229959838
2020-10-27,1.632419713720227
2020-10-28,1.6066444331873526
2020-10-29,1.5767961856352128
2020-10-30,1.5349287398011087
2020-10-31,1.4808523800638325
2020-11-01,1.423792674663168
2020-11-02,1.3716549942331397
2020-11-03,1.3319751489862857
2020-11-04,1.3012864631644734
2020-11-05,1.2744413581507106
2020-11-06,1.2434290064186497
2020-11-07,1.2079655564946188
2020-11-08,1.1713801485156468
2020-11-09,1.1408233645607133
2020-11-10,1.1216404624126313
2020-11-11,1.1096367527707247
2020-11-12,1.099527997764925
2020-11-13,1.08289494711065
2020-11-14,1.0594178759216375
2020-11-15,1.0332816761278854
2020-11-16,1.0103338190724127
2020-11-17,0.9949237497758434
2020-11-18,0.985220484426347
2020-11-19,0.9743645800682887
2020-11-20,0.9562705614127472
2020-11-21,0.9316765543852612
2020-11-22,0.9033806359902962
2020-11-23,0.8779866031055505
2020-11-24,0.8600898352803027
2020-11-25,0.8492903089158272
2020-11-26,0.8413870671746178
2020-11-27,0.8308156792848572
2020-11-28,0.8174155176793412
2020-11-29,0.8046661741082641
2020-11-30,0.7980493064262624
2020-12-01,0.80126631844843
2020-12-02,0.8125210236672358
2020-12-03,0.8262234854787459
2020-12-04,0.8354082146077992
2020-12-05,0.8367459372087526
2020-12-06,0.8334179544332483
2020-12-07,0.8313702834143621
2020-12-08,0.8359326332722804
2020-12-09,0.8478804990510324
2020-12-10,0.8639589909178748
2020-12-11,0.8776929699058734
2020-12-12,0.8860623785253269
2020-12-13,0.8897711965325881
2020-12-14,0.89409847484126
2020-12-15,0.9056867573140359
2020-12-16,0.9234242170097214
2020-12-17,0.9415023693078463
2020-12-18,0.9523522154829963
2020-12-19,0.953138704412092
2020-12-20,0.9456184497487776
2020-12-21,0.9367498530763533
2020-12-22,0.9338449910237686
2020-12-23,0.9388429303545901
2020-12-24,0.9476772403548154
2020-12-25,0.9515068184041742
2020-12-26,0.9498081956008074
2020-12-27,0.9528000886517772
2020-12-28,0.9669084454521241
2020-12-29,0.9948566065390853
2020-12-30,1.032730102810543
2020-12-31,1.0688630196766764
2021-01-01,1.0885231178363513
2021-01-02,1.091247753569175
2021-01-03,1.0896290272113018
2021-01-04,1.095263799039432
2021-01-05,1.112935187964848
2021-01-06,1.1275484479499966
2021-01-07,1.1243027927819005
2021-01-08,1.0997835858518057
2021-01-09,1.0616804010471113
2021-01-10,1.02152666497515
2021-01-11,0.9907309620231465
2021-01-12,0.9724094377634421
2021-01-13,0.9574714390922615
2021-01-14,0.9390576724693365
2021-01-15,0.9118545248023975
2021-01-16,0.8804491872788327
2021-01-17,0.8517518331216339
2021-01-18,0.8316996582912439
2021-01-19,0.8241663551424407
2021-01-20,0.8292205324687458
2021-01-21,0.8411991488904629
2021-01-22,0.8529249884756186
2021-01-23,0.8626550064199094
2021-01-24,0.8728995324566213
2021-01-25,0.8887410257472917
2021-01-26,0.9120511606831486
2021-01-27,0.9405463479361049
2021-01-28,0.9636663066800809
2021-01-29,0.9739920434213923
2021-01-30,0.9724512991372631
2021-01-31,0.9669451300039694
2021-02-01,0.9646534897205681
2021-02-02,0.9704761390868328
2021-02-03,0.9827365074099484
2021-02-04,0.9928326178223746
2021-02-05,0.9949749362896023
2021-02-06,0.9895622582972586
2021-02-07,0.9845467431522671
2021-02-08,0.9853540900502418
2021-02-09,0.9950121166890751
2021-02-10,1.0093148017421913
2021-02-11,1.0194410770152065
2021-02-12,1.0164413493446025
2021-02-13,1.0022189657515028
2021-02-14,0.986508220338909
2021-02-15,0.9792131059047636
2021-02-16,0.9871804393372561
2021-02-17,1.0075550767376402
2021-02-18,1.0321809613722623
2021-02-19,1.0516830526532275
2021-02-20,1.0649281754701647
2021-02-21,1.0786067052234063
2021-02-22,1.101911577302554
2021-02-23,1.1385988603498067
2021-02-24,1.1830386708800955
2021-02-25,1.22183183824289
2021-02-26,1.2408875990092902
2021-02-27,1.2403650850504433
2021-02-28,1.2298296932262054
2021-03-01,1.2204475805218893
2021-03-02,1.219464710303543
2021-03-03,1.2228628273560953
2021-03-04,1.2201465216523666
2021-03-05,1.20302996420591
2021-03-06,1.174739528341801
2021-03-07,1.1442313116755154
2021-03-08,1.1222326406107535
2021-03-09,1.11426700327641
2021-03-10,1.1142310690538078
2021-03-11,1.1125750288125917
2021-03-12,1.1005026634512691
2021-03-13,1.0783111456638779
2021-03-14,1.053197440364672
2021-03-15,1.034047934344617
2021-03-16,1.0255800292498884
2021-03-17,1.0243928965172924
2021-03-18,1.0219164843336725
2021-03-19,1.0096422012987898
2021-03-20,0.9886357629887097
2021-03-21,0.9660312947020069
2021-03-22,0.9502537997702266
2021-03-23,0.9501082318350076
2021-03-24,0.9617953962539407
2021-03-25,0.9765442090531862
2021-03-26,0.9855457455072006
2021-03-27,0.9880294252956515
2021-03-28,0.9879140782083496
